q[nm-1] time=2017-08-25T18:23:53.458387+0200|I_title=NSH2_FT|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7-time=2017-08-25T16:04:56.211499+0200|I_title=wat_FT_3|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7 
9.7632100000e-01 3.2256700000e-03 1.1447323585e-04 
9.8004000000e-01 3.1899300000e-03 1.1410082846e-04 
9.8376000000e-01 3.1062300000e-03 1.1344311595e-04 
9.8747900000e-01 2.9924900000e-03 1.1259134530e-04 
9.9119800000e-01 2.8386900000e-03 1.1186781752e-04 
9.9491800000e-01 2.7806700000e-03 1.1118660146e-04 
9.9863700000e-01 2.8324800000e-03 1.1126344093e-04 
1.0023600000e+00 2.9276500000e-03 1.1164648502e-04 
1.0060800000e+00 3.0122300000e-03 1.1177051083e-04 
1.0097900000e+00 3.0296400000e-03 1.1176818628e-04 
1.0135100000e+00 3.0706400000e-03 1.1161204872e-04 
1.0172300000e+00 2.9991700000e-03 1.1091275865e-04 
1.0209500000e+00 3.0911100000e-03 1.1110947132e-04 
1.0246700000e+00 3.3302600000e-03 1.1206378011e-04 
1.0283900000e+00 3.2815400000e-03 1.1155020818e-04 
1.0321100000e+00 3.3716800000e-03 1.1169807980e-04 
1.0358300000e+00 3.3391500000e-03 1.1128272170e-04 
1.0395500000e+00 3.2706100000e-03 1.1097114979e-04 
1.0432700000e+00 3.1979200000e-03 1.1074690341e-04 
1.0469900000e+00 3.2579700000e-03 1.1099924629e-04 
1.0507100000e+00 3.2316400000e-03 1.1067422567e-04 
1.0544300000e+00 3.0807600000e-03 1.0941975648e-04 
1.0581500000e+00 3.1675000000e-03 1.0945009732e-04 
1.0618700000e+00 3.1977600000e-03 1.0992690897e-04 
1.0655800000e+00 3.1962500000e-03 1.0927228972e-04 
1.0693000000e+00 3.2423200000e-03 1.0911604727e-04 
1.0730200000e+00 3.0716500000e-03 1.0817084506e-04 
1.0767400000e+00 3.0115600000e-03 1.0790489326e-04 
1.0804600000e+00 3.1138400000e-03 1.0819400936e-04 
1.0841800000e+00 3.1045900000e-03 1.0769306010e-04 
1.0879000000e+00 3.2607700000e-03 1.0819891026e-04 
1.0916200000e+00 3.2367300000e-03 1.0785859304e-04 
1.0953400000e+00 3.1809900000e-03 1.0754767775e-04 
1.0990600000e+00 3.3018600000e-03 1.0794033202e-04 
1.1027800000e+00 3.3738100000e-03 1.0791744306e-04 
1.1065000000e+00 3.3149500000e-03 1.0755353546e-04 
1.1102200000e+00 3.2368600000e-03 1.0703381105e-04 
1.1139400000e+00 3.2329400000e-03 1.0680665633e-04 
1.1176600000e+00 3.2197500000e-03 1.0656543333e-04 
1.1213700000e+00 3.2797400000e-03 1.0662301846e-04 
1.1250900000e+00 3.3279600000e-03 1.0668081149e-04 
1.1288100000e+00 3.3201000000e-03 1.0652489670e-04 
1.1325300000e+00 3.1241600000e-03 1.0550301358e-04 
1.1362500000e+00 3.2701600000e-03 1.0600561321e-04 
1.1399700000e+00 3.2882900000e-03 1.0584273601e-04 
1.1436900000e+00 3.3439700000e-03 1.0576751129e-04 
1.1474100000e+00 3.3281200000e-03 1.0539211658e-04 
1.1511300000e+00 3.3351800000e-03 1.0521243186e-04 
1.1548500000e+00 3.2572400000e-03 1.0481373146e-04 
1.1585700000e+00 3.2671000000e-03 1.0471587078e-04 
1.1622900000e+00 3.3706100000e-03 1.0503351374e-04 
1.1660100000e+00 3.4074200000e-03 1.0493657563e-04 
1.1697300000e+00 3.3978800000e-03 1.0472863954e-04 
1.1734400000e+00 3.3900100000e-03 1.0441740441e-04 
1.1771600000e+00 3.2716200000e-03 1.0393236154e-04 
1.1808800000e+00 3.4356300000e-03 1.0436722314e-04 
1.1846000000e+00 3.3940800000e-03 1.0400968388e-04 
1.1883200000e+00 3.4010200000e-03 1.0397611905e-04 
1.1920400000e+00 3.3880200000e-03 1.0366432807e-04 
1.1957600000e+00 3.2636100000e-03 1.0287677655e-04 
1.1994800000e+00 3.4453700000e-03 1.0327621066e-04 
1.2032000000e+00 3.3649200000e-03 1.0289003654e-04 
1.2069200000e+00 3.4412200000e-03 1.0312019981e-04 
1.2106400000e+00 3.3114100000e-03 1.0253648012e-04 
1.2143600000e+00 3.3652300000e-03 1.0260609834e-04 
1.2180800000e+00 3.4540700000e-03 1.0279460079e-04 
1.2218000000e+00 3.3816000000e-03 1.0221927581e-04 
1.2255200000e+00 3.4056700000e-03 1.0212395280e-04 
1.2292300000e+00 3.6960000000e-03 1.0324745382e-04 
1.2329500000e+00 3.7889500000e-03 1.0333170597e-04 
1.2366700000e+00 3.6930600000e-03 1.0282078769e-04 
1.2403900000e+00 3.6349700000e-03 1.0260195161e-04 
1.2441100000e+00 3.7289200000e-03 1.0284656038e-04 
1.2478300000e+00 3.5292400000e-03 1.0192417603e-04 
1.2515500000e+00 3.4845700000e-03 1.0140657980e-04 
1.2552700000e+00 3.5709100000e-03 1.0156405946e-04 
1.2589900000e+00 3.6958200000e-03 1.0184094524e-04 
1.2627100000e+00 3.6135900000e-03 1.0152877009e-04 
1.2664300000e+00 3.5912600000e-03 1.0129711574e-04 
1.2701500000e+00 3.4736500000e-03 1.0069821820e-04 
1.2738700000e+00 3.5268100000e-03 1.0072794260e-04 
1.2775900000e+00 3.5359100000e-03 1.0060526434e-04 
1.2813100000e+00 3.5481400000e-03 1.0049786998e-04 
1.2850200000e+00 3.6099400000e-03 1.0054671466e-04 
1.2887400000e+00 3.5764100000e-03 1.0019195008e-04 
1.2924600000e+00 3.6320200000e-03 1.0038510912e-04 
1.2961800000e+00 3.5329100000e-03 9.9863145228e-05 
1.2999000000e+00 3.5594400000e-03 9.9773718151e-05 
1.3036200000e+00 3.6664100000e-03 1.0019554405e-04 
1.3073400000e+00 3.5505300000e-03 9.9557842011e-05 
1.3110600000e+00 3.4554700000e-03 9.8919393835e-05 
1.3147800000e+00 3.4837400000e-03 9.8827751334e-05 
1.3185000000e+00 3.5705500000e-03 9.8998389015e-05 
1.3222200000e+00 3.5154000000e-03 9.8728567621e-05 
1.3259400000e+00 3.6744600000e-03 9.9158458388e-05 
1.3296600000e+00 3.6248100000e-03 9.8875934936e-05 
1.3333800000e+00 3.6688600000e-03 9.8936912343e-05 
1.3370900000e+00 3.7436100000e-03 9.8907387376e-05 
1.3408100000e+00 3.8305700000e-03 9.9062698866e-05 
1.3445300000e+00 3.7165600000e-03 9.8539531746e-05 
1.3482500000e+00 3.5865900000e-03 9.7915639011e-05 
1.3519700000e+00 3.5038400000e-03 9.7476776669e-05 
1.3556900000e+00 3.6045800000e-03 9.7780873932e-05 
1.3594100000e+00 3.7428400000e-03 9.8183563945e-05 
1.3631300000e+00 3.8363800000e-03 9.8329949751e-05 
1.3668500000e+00 3.8103500000e-03 9.8081196906e-05 
1.3705700000e+00 3.8550600000e-03 9.8109253054e-05 
1.3742900000e+00 3.6802900000e-03 9.7409868349e-05 
1.3780100000e+00 3.6522300000e-03 9.7277961617e-05 
1.3817300000e+00 3.7102700000e-03 9.7291389514e-05 
1.3854500000e+00 3.6909600000e-03 9.7017936042e-05 
1.3891700000e+00 3.6530900000e-03 9.6719500219e-05 
1.3928800000e+00 3.7841500000e-03 9.6986679788e-05 
1.3966000000e+00 3.5563000000e-03 9.5962297772e-05 
1.4003200000e+00 3.4939000000e-03 9.5667902173e-05 
1.4040400000e+00 3.6970800000e-03 9.6269117705e-05 
1.4077600000e+00 3.6701000000e-03 9.6032209803e-05 
1.4114800000e+00 3.5730200000e-03 9.5481158667e-05 
1.4152000000e+00 3.7457400000e-03 9.6016818447e-05 
1.4189200000e+00 3.7793600000e-03 9.6079610816e-05 
1.4226400000e+00 3.8211400000e-03 9.6073808121e-05 
1.4263600000e+00 3.8944800000e-03 9.6142656474e-05 
1.4300800000e+00 3.8282100000e-03 9.5953136704e-05 
1.4338000000e+00 3.7846800000e-03 9.5699926952e-05 
1.4375200000e+00 3.7221800000e-03 9.5255217683e-05 
1.4412400000e+00 3.6358100000e-03 9.4866785797e-05 
1.4449600000e+00 3.5700500000e-03 9.4404496953e-05 
1.4486700000e+00 3.6410900000e-03 9.4493299747e-05 
1.4523900000e+00 3.6783300000e-03 9.4601874333e-05 
1.4561100000e+00 3.6461500000e-03 9.4355126752e-05 
1.4598300000e+00 3.8269000000e-03 9.4807084787e-05 
1.4635500000e+00 3.8673100000e-03 9.4863112419e-05 
1.4672700000e+00 3.8697200000e-03 9.4699274125e-05 
1.4709900000e+00 3.8618100000e-03 9.4668138661e-05 
1.4747100000e+00 3.8702700000e-03 9.4629915284e-05 
1.4784300000e+00 3.8180600000e-03 9.4236204348e-05 
1.4821500000e+00 3.8964300000e-03 9.4349672452e-05 
1.4858700000e+00 3.9328400000e-03 9.4400873632e-05 
1.4895900000e+00 3.7288200000e-03 9.3632270901e-05 
