q[nm-1] (time=2017-08-25T18:55:43.953921+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:44.837510+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:46.160563+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:47.041561+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:48.372136+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:49.356821+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:50.569218+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:51.561031+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:52.773996+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:55:53.675349+0200|I_title=4SH1|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7)/10-time=2017-08-25T16:04:56.211499+0200|I_title=wat_FT_3|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7 
5.6719600000e-01 1.6261070000e-03 5.5801015801e-05 
5.7091500000e-01 1.6318540000e-03 5.5599080284e-05 
5.7463500000e-01 1.5347470000e-03 5.5336418835e-05 
5.7835400000e-01 1.6553750000e-03 5.5144829038e-05 
5.8207300000e-01 1.6959800000e-03 5.5007849883e-05 
5.8579300000e-01 1.6357910000e-03 5.4920744441e-05 
5.8951200000e-01 1.6249780000e-03 5.4695403730e-05 
5.9323100000e-01 1.6878510000e-03 5.4556379954e-05 
5.9695100000e-01 1.6957320000e-03 5.4389138981e-05 
6.0067000000e-01 1.6880530000e-03 5.4296980253e-05 
6.0438900000e-01 1.7395630000e-03 5.4194421574e-05 
6.0810900000e-01 1.8364940000e-03 5.4156330747e-05 
6.1182800000e-01 1.7654260000e-03 5.3875691906e-05 
6.1554700000e-01 1.7538770000e-03 5.3654743695e-05 
6.1926700000e-01 1.7995530000e-03 5.3506411069e-05 
6.2298600000e-01 1.8432290000e-03 5.3429726497e-05 
6.2670500000e-01 1.8867320000e-03 5.3334900090e-05 
6.3042400000e-01 1.8671870000e-03 5.3167854733e-05 
6.3414400000e-01 1.8411580000e-03 5.2944871744e-05 
6.3786300000e-01 1.8632350000e-03 5.2885635693e-05 
6.4158200000e-01 1.8686960000e-03 5.2827759466e-05 
6.4530200000e-01 1.8862920000e-03 5.2611586545e-05 
6.4902100000e-01 1.9067130000e-03 5.2451821936e-05 
6.5274000000e-01 1.8929680000e-03 5.2357514434e-05 
6.5646000000e-01 1.9027040000e-03 5.2210954700e-05 
6.6017900000e-01 1.9575470000e-03 5.2108941152e-05 
6.6389800000e-01 1.9642420000e-03 5.1917311133e-05 
6.6761800000e-01 2.0380900000e-03 5.1778004857e-05 
6.7133700000e-01 2.0828470000e-03 5.1659930403e-05 
6.7505600000e-01 2.0360690000e-03 5.1559193822e-05 
6.7877600000e-01 2.0872630000e-03 5.1486609816e-05 
6.8249500000e-01 2.1384440000e-03 5.1401674217e-05 
6.8621400000e-01 2.0945120000e-03 5.1198283387e-05 
6.8993400000e-01 1.9993570000e-03 5.1066197400e-05 
6.9365300000e-01 2.0168580000e-03 5.0981116156e-05 
6.9737200000e-01 2.1452970000e-03 5.0966304220e-05 
7.0109200000e-01 2.1740210000e-03 5.0759834278e-05 
7.0481100000e-01 2.1258330000e-03 5.0495385473e-05 
7.0853000000e-01 2.0942200000e-03 5.0457609740e-05 
7.1224900000e-01 2.1425880000e-03 5.0267205681e-05 
7.1596900000e-01 2.2427490000e-03 5.0208102740e-05 
7.1968800000e-01 2.2874420000e-03 5.0155066891e-05 
7.2340700000e-01 2.2806400000e-03 5.0092057921e-05 
7.2712700000e-01 2.2899530000e-03 5.0044196239e-05 
7.3084600000e-01 2.3161600000e-03 4.9926988113e-05 
7.3456500000e-01 2.2320790000e-03 4.9662470781e-05 
7.3828500000e-01 2.1765270000e-03 4.9506978934e-05 
