q[nm-1] (time=2017-08-25T18:36:42.335011+0200|I_title=NSH1_FT|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:36:43.440293+0200|I_title=NSH1_FT|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:36:44.542474+0200|I_title=NSH1_FT|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:36:45.533121+0200|I_title=NSH1_FT|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:36:46.753507+0200|I_title=NSH1_FT|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:36:47.744863+0200|I_title=NSH1_FT|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:36:49.057906+0200|I_title=NSH1_FT|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:36:50.052011+0200|I_title=NSH1_FT|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:36:50.932754+0200|I_title=NSH1_FT|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7+time=2017-08-25T18:36:51.923383+0200|I_title=NSH1_FT|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7)/10-time=2017-08-25T16:04:56.211499+0200|I_title=wat_FT_3|||elev=4.14414e-06sah=-85sav=-1.49997|sav=-1.49997|dis=2.99977|T1=3276.7 
1.0469900000e+00 6.1616400000e-03 4.5864745039e-05 
1.0507100000e+00 6.1330200000e-03 4.5718958497e-05 
1.0544300000e+00 6.1412600000e-03 4.5606842137e-05 
1.0581500000e+00 6.1924800000e-03 4.5482578059e-05 
1.0618700000e+00 6.1690300000e-03 4.5432714007e-05 
1.0655800000e+00 6.2255000000e-03 4.5307543312e-05 
1.0693000000e+00 6.2265000000e-03 4.5237182741e-05 
1.0730200000e+00 6.1731000000e-03 4.5112426915e-05 
1.0767400000e+00 6.1980200000e-03 4.5116330095e-05 
1.0804600000e+00 6.1942300000e-03 4.5064886592e-05 
1.0841800000e+00 6.1271500000e-03 4.4798937514e-05 
1.0879000000e+00 6.1232900000e-03 4.4687194520e-05 
1.0916200000e+00 6.2195200000e-03 4.4684101603e-05 
1.0953400000e+00 6.2127300000e-03 4.4663905367e-05 
1.0990600000e+00 6.1774500000e-03 4.4592796233e-05 
1.1027800000e+00 6.1861000000e-03 4.4478594973e-05 
1.1065000000e+00 6.1630000000e-03 4.4378387054e-05 
1.1102200000e+00 6.1326500000e-03 4.4253085574e-05 
1.1139400000e+00 6.1929000000e-03 4.4219480062e-05 
1.1176600000e+00 6.2338500000e-03 4.4185465264e-05 
1.1213700000e+00 6.2622100000e-03 4.4162420240e-05 
1.1250900000e+00 6.2473000000e-03 4.4051920960e-05 
1.1288100000e+00 6.2070100000e-03 4.3956719044e-05 
1.1325300000e+00 6.2364600000e-03 4.3941471123e-05 
1.1362500000e+00 6.2287100000e-03 4.3859934728e-05 
1.1399700000e+00 6.2033800000e-03 4.3746102906e-05 
1.1436900000e+00 6.2316200000e-03 4.3619777940e-05 
1.1474100000e+00 6.2912900000e-03 4.3580185033e-05 
1.1511300000e+00 6.2712200000e-03 4.3493246100e-05 
1.1548500000e+00 6.2125200000e-03 4.3397396787e-05 
1.1585700000e+00 6.1790000000e-03 4.3297765699e-05 
1.1622900000e+00 6.2139300000e-03 4.3284320266e-05 
1.1660100000e+00 6.1891800000e-03 4.3160826017e-05 
1.1697300000e+00 6.1921100000e-03 4.3094648829e-05 
1.1734400000e+00 6.2606800000e-03 4.3034245883e-05 
1.1771600000e+00 6.2325400000e-03 4.2999856229e-05 
1.1808800000e+00 6.2715800000e-03 4.2946994879e-05 
1.1846000000e+00 6.2600800000e-03 4.2850349127e-05 
1.1883200000e+00 6.1706600000e-03 4.2726735062e-05 
1.1920400000e+00 6.1612700000e-03 4.2636455370e-05 
1.1957600000e+00 6.2527700000e-03 4.2618472464e-05 
1.1994800000e+00 6.2861100000e-03 4.2497807828e-05 
1.2032000000e+00 6.2196200000e-03 4.2405601455e-05 
1.2069200000e+00 6.2219800000e-03 4.2380016600e-05 
1.2106400000e+00 6.2638800000e-03 4.2391896632e-05 
1.2143600000e+00 6.2371300000e-03 4.2301575112e-05 
1.2180800000e+00 6.2246300000e-03 4.2215857594e-05 
1.2218000000e+00 6.2313400000e-03 4.2115621710e-05 
1.2255200000e+00 6.2360200000e-03 4.2064282933e-05 
1.2292300000e+00 6.2135700000e-03 4.2016301595e-05 
1.2329500000e+00 6.2440900000e-03 4.1924059647e-05 
1.2366700000e+00 6.2150600000e-03 4.1831567115e-05 
1.2403900000e+00 6.1891200000e-03 4.1810125804e-05 
1.2441100000e+00 6.1755000000e-03 4.1754495471e-05 
1.2478300000e+00 6.1979500000e-03 4.1720638754e-05 
1.2515500000e+00 6.2649700000e-03 4.1640765894e-05 
1.2552700000e+00 6.2618800000e-03 4.1573032053e-05 
1.2589900000e+00 6.3256100000e-03 4.1535941936e-05 
