q[nm-1] (time=2017-08-27T11:27:39.330466+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:27:40.545153+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:27:41.318206+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:27:41.978510+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:27:42.864010+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:27:43.631777+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:27:44.403655+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:27:45.176872+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:27:45.950328+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7+time=2017-08-27T11:27:47.272715+0200|I_title=SF_water|||elev=4.14414e-06sah=1.70984e-05sav=0|sav=0|dis=2.99967|T1=3276.7)/10 
1.3994400000e+00 4.2030970000e-03 1.0267304102e-05 
1.4087400000e+00 4.1974340000e-03 1.0229201630e-05 
1.4180400000e+00 4.2068430000e-03 1.0204394286e-05 
1.4273300000e+00 4.2064780000e-03 1.0170029561e-05 
1.4366300000e+00 4.2019700000e-03 1.0141142046e-05 
1.4459300000e+00 4.1851160000e-03 1.0088452133e-05 
1.4552300000e+00 4.2046610000e-03 1.0075833947e-05 
1.4645300000e+00 4.2014250000e-03 1.0038385141e-05 
1.4738300000e+00 4.1930910000e-03 1.0000270259e-05 
1.4831300000e+00 4.2028080000e-03 9.9811055688e-06 
1.4924200000e+00 4.2119710000e-03 9.9459215504e-06 
1.5017200000e+00 4.2056540000e-03 9.9071062881e-06 
1.5110200000e+00 4.1971180000e-03 9.8662366027e-06 
1.5203200000e+00 4.2027450000e-03 9.8410115265e-06 
1.5296200000e+00 4.1829780000e-03 9.7890055863e-06 
1.5389200000e+00 4.1843730000e-03 9.7603626151e-06 
1.5482200000e+00 4.1967090000e-03 9.7435590916e-06 
1.5575100000e+00 4.2135110000e-03 9.7314711139e-06 
1.5668100000e+00 4.2206510000e-03 9.7097561445e-06 
1.5761100000e+00 4.1900200000e-03 9.6482867474e-06 
1.5854100000e+00 4.2016910000e-03 9.6314712056e-06 
1.5947100000e+00 4.2178810000e-03 9.6200241289e-06 
1.6040100000e+00 4.2187670000e-03 9.5964467976e-06 
1.6133100000e+00 4.2084970000e-03 9.5573702661e-06 
1.6226000000e+00 4.1897840000e-03 9.5112759195e-06 
1.6319000000e+00 4.1858870000e-03 9.4746020535e-06 
1.6412000000e+00 4.1883880000e-03 9.5337554168e-06 
1.6505000000e+00 4.1946210000e-03 9.7549151749e-06 
1.6598000000e+00 4.1802280000e-03 9.6151185066e-06 
1.6691000000e+00 4.1912090000e-03 9.7468852633e-06 
1.6784000000e+00 4.1874120000e-03 9.8921223166e-06 
1.6876900000e+00 4.2006860000e-03 1.0113991887e-05 
1.6969900000e+00 4.1861040000e-03 9.9954457049e-06 
1.7062900000e+00 4.1713160000e-03 1.0063873034e-05 
1.7155900000e+00 4.1796390000e-03 1.0227716530e-05 
1.7248900000e+00 4.1786900000e-03 1.0239886828e-05 
1.7341900000e+00 4.1795020000e-03 1.0192304164e-05 
1.7434900000e+00 4.1948300000e-03 1.0251227226e-05 
1.7527900000e+00 4.1969240000e-03 1.0466386867e-05 
1.7620800000e+00 4.1932970000e-03 1.0357531857e-05 
1.7713800000e+00 4.1835740000e-03 1.0348399935e-05 
1.7806800000e+00 4.1925420000e-03 1.0555298171e-05 
1.7899800000e+00 4.1917620000e-03 1.0628818562e-05 
1.7992800000e+00 4.1837170000e-03 1.0473651062e-05 
1.8085800000e+00 4.1723850000e-03 1.0445286192e-05 
1.8178800000e+00 4.1829300000e-03 1.0739532197e-05 
1.8271700000e+00 4.1890360000e-03 1.0537655743e-05 
1.8364700000e+00 4.1719550000e-03 1.0719636014e-05 
1.8457700000e+00 4.1613360000e-03 1.0666856218e-05 
1.8550700000e+00 4.1680720000e-03 1.0597282655e-05 
1.8643700000e+00 4.1660650000e-03 1.0916614900e-05 
1.8736700000e+00 4.1610220000e-03 1.1039336819e-05 
1.8829700000e+00 4.1605490000e-03 1.1247786362e-05 
1.8922600000e+00 4.1715280000e-03 1.1312768113e-05 
1.9015600000e+00 4.1718120000e-03 1.1822503374e-05 
1.9108600000e+00 4.1673090000e-03 1.2235735921e-05 
1.9201600000e+00 4.1658040000e-03 1.2515038345e-05 
1.9294600000e+00 4.1453750000e-03 1.2917332063e-05 
1.9387600000e+00 4.1298660000e-03 1.2796161234e-05 
