Q(1/nm) TTAB300_norm_minus_branco1_norm.dat 
4.8058581E+00 1.0538826E+06 
4.8139544E+00 1.1410156E+06 
4.8220506E+00 1.1061430E+06 
4.8301468E+00 1.0370186E+06 
4.8382435E+00 1.0407271E+06 
4.8463397E+00 1.0602995E+06 
4.8544359E+00 1.0591160E+06 
4.8625321E+00 1.1099175E+06 
4.8706284E+00 1.1474246E+06 
4.8787246E+00 1.1217492E+06 
4.8868208E+00 1.1118978E+06 
4.8949170E+00 1.0866885E+06 
4.9030132E+00 1.0604375E+06 
4.9111094E+00 1.0939616E+06 
4.9192061E+00 1.1367931E+06 
4.9273024E+00 1.1474511E+06 
4.9353986E+00 1.1095680E+06 
4.9434948E+00 1.1818041E+06 
4.9515910E+00 1.1579325E+06 
4.9596872E+00 1.1093508E+06 
4.9677835E+00 1.0943701E+06 
4.9758797E+00 1.1645539E+06 
4.9839759E+00 1.1753315E+06 
4.9920721E+00 1.1864732E+06 
5.0001688E+00 1.1728462E+06 
5.0082650E+00 1.0487531E+06 
5.0163612E+00 9.9629888E+05 
5.0244575E+00 9.6341788E+05 
5.0325537E+00 1.0498419E+06 
5.0406499E+00 1.0397723E+06 
5.0487461E+00 1.2573234E+06 
5.0568423E+00 1.0806441E+06 
5.0649385E+00 1.4159842E+06 
