Q(1/nm) MG2_norm_minus_branco1_norm.dat 
4.0124240E+00 1.1335025E+06 
4.0205202E+00 1.1592118E+06 
4.0286169E+00 1.1191981E+06 
4.0367126E+00 1.1518992E+06 
4.0448093E+00 1.0983984E+06 
4.0529051E+00 1.1699638E+06 
4.0610018E+00 1.1769711E+06 
4.0690980E+00 1.1788568E+06 
4.0771942E+00 1.1794610E+06 
4.0852904E+00 1.1418254E+06 
4.0933867E+00 1.1696642E+06 
4.1014833E+00 1.1299194E+06 
4.1095791E+00 1.1373135E+06 
4.1176758E+00 1.1138108E+06 
4.1257715E+00 1.1618616E+06 
4.1338682E+00 1.1472081E+06 
4.1419644E+00 1.1476020E+06 
4.1500607E+00 1.1743036E+06 
4.1581569E+00 1.1724435E+06 
4.1662531E+00 1.1093855E+06 
4.1743493E+00 1.1085592E+06 
4.1824455E+00 1.1690129E+06 
4.1905417E+00 1.1545385E+06 
4.1986384E+00 1.1312324E+06 
4.2067347E+00 1.1479274E+06 
4.2148309E+00 1.1770818E+06 
4.2229271E+00 1.1173309E+06 
4.2310233E+00 1.1080165E+06 
4.2391195E+00 1.1511204E+06 
4.2472157E+00 1.2134284E+06 
4.2553120E+00 1.1445564E+06 
4.2634082E+00 1.1659450E+06 
4.2715044E+00 1.1427055E+06 
4.2796011E+00 1.1711944E+06 
4.2876973E+00 1.1360242E+06 
4.2957935E+00 1.1635810E+06 
4.3038898E+00 1.2279541E+06 
4.3119860E+00 1.1904342E+06 
4.3200822E+00 1.1598026E+06 
4.3281784E+00 1.1627398E+06 
4.3362746E+00 1.1905909E+06 
4.3443708E+00 1.1813192E+06 
4.3524671E+00 1.1570810E+06 
4.3605638E+00 1.1984474E+06 
4.3686600E+00 1.2060748E+06 
4.3767562E+00 1.1333511E+06 
4.3848524E+00 1.1656200E+06 
4.3929486E+00 1.1974660E+06 
4.4010448E+00 1.1838644E+06 
4.4091411E+00 1.2054078E+06 
4.4172373E+00 1.1173245E+06 
4.4253335E+00 1.1364726E+06 
4.4334297E+00 1.1839504E+06 
4.4415264E+00 1.2266512E+06 
4.4496226E+00 1.1407854E+06 
4.4577188E+00 1.1716099E+06 
4.4658151E+00 1.2121982E+06 
4.4739113E+00 1.2069139E+06 
4.4820075E+00 1.2145942E+06 
4.4901037E+00 1.1612474E+06 
4.4981999E+00 1.2024731E+06 
4.5062962E+00 1.2326715E+06 
4.5143924E+00 1.1742722E+06 
4.5224891E+00 1.1964412E+06 
4.5305853E+00 1.1494964E+06 
4.5386815E+00 1.1998612E+06 
4.5467777E+00 1.1991681E+06 
4.5548739E+00 1.2012878E+06 
4.5629702E+00 1.2122946E+06 
4.5710664E+00 1.1670992E+06 
4.5791626E+00 1.1837308E+06 
4.5872588E+00 1.1675938E+06 
4.5953555E+00 1.1610674E+06 
4.6034517E+00 1.1833914E+06 
4.6115479E+00 1.1877628E+06 
4.6196442E+00 1.1758289E+06 
4.6277404E+00 1.1941106E+06 
4.6358366E+00 1.2087868E+06 
4.6439328E+00 1.1395370E+06 
4.6520290E+00 1.1663126E+06 
4.6601253E+00 1.2338560E+06 
4.6682215E+00 1.1780134E+06 
4.6763182E+00 1.1346762E+06 
4.6844144E+00 1.1620926E+06 
4.6925106E+00 1.1592062E+06 
4.7006068E+00 1.1524609E+06 
4.7087030E+00 1.1530028E+06 
4.7167993E+00 1.2367126E+06 
4.7248955E+00 1.2107046E+06 
4.7329917E+00 1.1242899E+06 
4.7410879E+00 1.1806300E+06 
4.7491841E+00 1.2294551E+06 
4.7572808E+00 1.1632970E+06 
4.7653770E+00 1.1647205E+06 
4.7734733E+00 1.2639425E+06 
4.7815695E+00 1.2121524E+06 
4.7896657E+00 1.1696392E+06 
4.7977619E+00 1.2228966E+06 
4.8058581E+00 1.1773238E+06 
4.8139544E+00 1.2044725E+06 
4.8220506E+00 1.2220852E+06 
4.8301468E+00 1.1629805E+06 
4.8382435E+00 1.2296776E+06 
4.8463397E+00 1.2186939E+06 
4.8544359E+00 1.1661089E+06 
4.8625321E+00 1.1402372E+06 
4.8706284E+00 1.2329914E+06 
4.8787246E+00 1.2205991E+06 
4.8868208E+00 1.1955242E+06 
4.8949170E+00 1.1891730E+06 
4.9030132E+00 1.2287866E+06 
4.9111094E+00 1.2591104E+06 
4.9192061E+00 1.2474119E+06 
4.9273024E+00 1.2628782E+06 
4.9353986E+00 1.1834805E+06 
4.9434948E+00 1.2097518E+06 
4.9515910E+00 1.1702161E+06 
4.9596872E+00 1.2219206E+06 
4.9677835E+00 1.2185386E+06 
4.9758797E+00 1.1877955E+06 
4.9839759E+00 1.1974644E+06 
4.9920721E+00 1.1377159E+06 
5.0001688E+00 1.2188301E+06 
5.0082650E+00 1.2505852E+06 
5.0163612E+00 1.2862484E+06 
5.0244575E+00 1.1106698E+06 
5.0325537E+00 1.3386532E+06 
5.0406499E+00 1.1984596E+06 
5.0487461E+00 1.0806131E+06 
5.0568423E+00 1.4708596E+06 
5.0649385E+00 1.5906084E+06 
