Q(1/nm) CTAB200_norm_minus_branco1_norm.dat 
3.1866050E+00 9.4403950E+05 
3.1947012E+00 9.8635312E+05 
3.2027974E+00 9.8801994E+05 
3.2108936E+00 9.3339700E+05 
3.2189898E+00 9.7932744E+05 
3.2270863E+00 9.9359281E+05 
3.2351825E+00 9.7763125E+05 
3.2432787E+00 1.0010551E+06 
3.2513750E+00 1.0111631E+06 
3.2594714E+00 9.7587031E+05 
3.2675676E+00 1.0022471E+06 
3.2756639E+00 9.9221025E+05 
3.2837601E+00 1.0555409E+06 
3.2918563E+00 9.8711462E+05 
3.2999527E+00 9.4074731E+05 
3.3080490E+00 9.6413288E+05 
3.3161452E+00 9.7580438E+05 
3.3242414E+00 9.3663031E+05 
3.3323376E+00 9.5218275E+05 
3.3404341E+00 9.9092619E+05 
3.3485303E+00 1.0016279E+06 
3.3566265E+00 1.0205853E+06 
3.3647227E+00 1.0422798E+06 
3.3728189E+00 1.0246340E+06 
3.3809154E+00 9.8217794E+05 
3.3890116E+00 9.2716119E+05 
3.3971078E+00 9.0534038E+05 
3.4052041E+00 9.9344000E+05 
3.4133003E+00 1.0169390E+06 
3.4213967E+00 9.6803844E+05 
3.4294930E+00 9.7521706E+05 
3.4375892E+00 9.7388444E+05 
3.4456854E+00 9.6955144E+05 
3.4537816E+00 9.1515400E+05 
3.4618781E+00 9.5292712E+05 
3.4699743E+00 9.8408725E+05 
3.4780705E+00 9.5602075E+05 
3.4861667E+00 9.7179788E+05 
3.4942629E+00 9.5157419E+05 
3.5023594E+00 9.5649712E+05 
3.5104556E+00 9.8733612E+05 
3.5185518E+00 9.8049112E+05 
3.5266480E+00 9.7420862E+05 
3.5347443E+00 9.5725844E+05 
3.5428407E+00 9.4941169E+05 
3.5509369E+00 1.0037138E+06 
3.5590332E+00 9.5883650E+05 
3.5671294E+00 9.6634512E+05 
3.5752256E+00 9.7002450E+05 
3.5833220E+00 1.0269065E+06 
3.5914183E+00 9.9667856E+05 
3.5995145E+00 9.8630238E+05 
3.6076107E+00 9.9217138E+05 
3.6157069E+00 9.8229862E+05 
3.6238034E+00 9.8964038E+05 
3.6318996E+00 9.8783706E+05 
3.6399958E+00 9.6321006E+05 
3.6480920E+00 9.4777419E+05 
3.6561882E+00 9.7022631E+05 
3.6642847E+00 9.5859638E+05 
3.6723809E+00 9.6266644E+05 
3.6804771E+00 9.6726712E+05 
3.6885734E+00 9.8562806E+05 
3.6966696E+00 1.0134008E+06 
3.7047660E+00 9.9896319E+05 
3.7128623E+00 9.7529850E+05 
3.7209585E+00 9.6158056E+05 
3.7290547E+00 9.8616788E+05 
3.7371509E+00 9.7093956E+05 
3.7452474E+00 9.5233281E+05 
3.7533436E+00 9.4475912E+05 
3.7614398E+00 9.8658225E+05 
3.7695360E+00 9.8042300E+05 
3.7776325E+00 9.6139538E+05 
3.7857287E+00 9.9635375E+05 
3.7938249E+00 9.9100194E+05 
3.8019211E+00 9.7083162E+05 
3.8100173E+00 1.0141229E+06 
3.8181138E+00 9.9755525E+05 
3.8262100E+00 9.5505831E+05 
3.8343062E+00 9.5785256E+05 
3.8424025E+00 9.7292081E+05 
3.8504987E+00 9.9362300E+05 
3.8585951E+00 9.7357512E+05 
3.8666914E+00 9.9415019E+05 
3.8747876E+00 9.6956294E+05 
3.8828838E+00 9.6983812E+05 
3.8909800E+00 9.2233375E+05 
3.8990765E+00 9.4209888E+05 
3.9071727E+00 9.4191506E+05 
3.9152689E+00 9.5105119E+05 
3.9233651E+00 9.5839281E+05 
3.9314613E+00 9.5454556E+05 
3.9395578E+00 9.5447431E+05 
3.9476540E+00 9.7067594E+05 
3.9557502E+00 1.0161544E+06 
3.9638464E+00 1.0099237E+06 
3.9719427E+00 9.9808131E+05 
3.9800391E+00 9.7599219E+05 
3.9881353E+00 9.9941806E+05 
3.9962316E+00 9.7047375E+05 
4.0043278E+00 9.4841675E+05 
4.0124240E+00 9.6740056E+05 
4.0205202E+00 1.0200039E+06 
4.0286169E+00 9.7183981E+05 
