Q(1/nm) CTAB100Ur38_norm_minus_branco1_norm.dat 
4.1419644E+00 8.6045450E+05 
4.1500607E+00 8.4890288E+05 
4.1581569E+00 8.2895331E+05 
4.1662531E+00 8.4255188E+05 
4.1743493E+00 8.4713800E+05 
4.1824455E+00 8.8632938E+05 
4.1905417E+00 9.3411569E+05 
4.1986384E+00 8.4944481E+05 
4.2067347E+00 8.3535025E+05 
4.2148309E+00 8.9333288E+05 
4.2229271E+00 9.0894762E+05 
4.2310233E+00 8.8482869E+05 
4.2391195E+00 8.8966869E+05 
4.2472157E+00 8.6198612E+05 
4.2553120E+00 8.6828200E+05 
4.2634082E+00 8.7408788E+05 
4.2715044E+00 8.9665075E+05 
4.2796011E+00 8.8772444E+05 
4.2876973E+00 9.4112106E+05 
4.2957935E+00 9.0070044E+05 
4.3038898E+00 9.1590700E+05 
4.3119860E+00 9.3546138E+05 
4.3200822E+00 9.1741619E+05 
4.3281784E+00 9.0401994E+05 
4.3362746E+00 8.8455169E+05 
4.3443708E+00 8.9657050E+05 
4.3524671E+00 8.6373512E+05 
4.3605638E+00 9.1561269E+05 
4.3686600E+00 9.0313412E+05 
4.3767562E+00 9.0016388E+05 
4.3848524E+00 9.0045169E+05 
4.3929486E+00 9.0051975E+05 
4.4010448E+00 9.2196756E+05 
4.4091411E+00 8.9171362E+05 
4.4172373E+00 8.7622050E+05 
4.4253335E+00 8.9871300E+05 
4.4334297E+00 8.9011300E+05 
4.4415264E+00 9.2303375E+05 
4.4496226E+00 8.9608006E+05 
4.4577188E+00 9.1106300E+05 
4.4658151E+00 9.1132375E+05 
4.4739113E+00 9.0560144E+05 
4.4820075E+00 9.2102719E+05 
4.4901037E+00 8.8253025E+05 
4.4981999E+00 8.7341912E+05 
4.5062962E+00 8.6104000E+05 
4.5143924E+00 9.3893475E+05 
4.5224891E+00 9.3635531E+05 
4.5305853E+00 9.1232731E+05 
4.5386815E+00 8.9734669E+05 
4.5467777E+00 8.8199900E+05 
4.5548739E+00 9.1696100E+05 
4.5629702E+00 9.4008900E+05 
4.5710664E+00 9.4611050E+05 
4.5791626E+00 9.0051081E+05 
4.5872588E+00 8.7992350E+05 
4.5953555E+00 8.8717312E+05 
4.6034517E+00 8.9503525E+05 
4.6115479E+00 8.9521056E+05 
4.6196442E+00 8.9746075E+05 
4.6277404E+00 9.0856500E+05 
4.6358366E+00 9.3200050E+05 
4.6439328E+00 9.2176969E+05 
4.6520290E+00 8.9230188E+05 
4.6601253E+00 8.9871562E+05 
4.6682215E+00 9.0644938E+05 
4.6763182E+00 9.2013900E+05 
4.6844144E+00 9.1625781E+05 
4.6925106E+00 9.2865019E+05 
4.7006068E+00 9.1199094E+05 
4.7087030E+00 9.0035525E+05 
4.7167993E+00 9.3389588E+05 
4.7248955E+00 9.5021538E+05 
4.7329917E+00 9.4778825E+05 
4.7410879E+00 9.0355525E+05 
4.7491841E+00 9.1288762E+05 
4.7572808E+00 9.2235531E+05 
4.7653770E+00 8.8368138E+05 
4.7734733E+00 8.9619288E+05 
4.7815695E+00 8.7436500E+05 
4.7896657E+00 9.0660031E+05 
4.7977619E+00 9.0071938E+05 
4.8058581E+00 8.8693344E+05 
4.8139544E+00 8.7102381E+05 
4.8220506E+00 9.5539350E+05 
4.8301468E+00 9.0312269E+05 
4.8382435E+00 9.3555019E+05 
4.8463397E+00 9.4338356E+05 
4.8544359E+00 8.9230150E+05 
4.8625321E+00 9.5855025E+05 
4.8706284E+00 9.1917238E+05 
4.8787246E+00 9.2862519E+05 
4.8868208E+00 9.5822344E+05 
4.8949170E+00 9.2083400E+05 
4.9030132E+00 8.7286069E+05 
4.9111094E+00 9.2757219E+05 
4.9192061E+00 9.5700712E+05 
4.9273024E+00 9.1144294E+05 
4.9353986E+00 8.8040588E+05 
4.9434948E+00 8.8632756E+05 
4.9515910E+00 9.3011325E+05 
4.9596872E+00 8.9320781E+05 
4.9677835E+00 9.1453681E+05 
4.9758797E+00 9.7727044E+05 
4.9839759E+00 9.3608994E+05 
4.9920721E+00 9.8962656E+05 
5.0001688E+00 9.7325125E+05 
5.0082650E+00 9.2777756E+05 
5.0163612E+00 8.8476444E+05 
5.0244575E+00 9.7844069E+05 
5.0325537E+00 8.6993669E+05 
5.0406499E+00 7.9320181E+05 
5.0487461E+00 8.5164331E+05 
5.0568423E+00 7.3970612E+05 
5.0649385E+00 8.2498475E+05 
