Q(1/nm) DTAB200a_norm_minus_branco1_norm.dat 
3.0327759E+00 1.0020930E+06 
3.0408721E+00 9.7409006E+05 
3.0489683E+00 9.9845181E+05 
3.0570645E+00 1.0161829E+06 
3.0651610E+00 1.0070859E+06 
3.0732572E+00 1.0314276E+06 
3.0813534E+00 9.9629706E+05 
3.0894496E+00 9.5399819E+05 
3.0975459E+00 1.0009337E+06 
3.1056423E+00 9.8926912E+05 
3.1137385E+00 1.0063126E+06 
3.1218348E+00 1.0041863E+06 
3.1299310E+00 1.0161359E+06 
3.1380272E+00 9.8285975E+05 
3.1461236E+00 9.6369406E+05 
3.1542199E+00 1.0361306E+06 
3.1623161E+00 1.0180174E+06 
3.1704123E+00 9.8282200E+05 
3.1785085E+00 9.4938706E+05 
3.1866050E+00 9.5910938E+05 
3.1947012E+00 9.8086662E+05 
3.2027974E+00 9.4438831E+05 
3.2108936E+00 9.8406231E+05 
3.2189898E+00 9.5809675E+05 
3.2270863E+00 9.8015794E+05 
3.2351825E+00 9.9064606E+05 
3.2432787E+00 1.0245453E+06 
3.2513750E+00 1.0077081E+06 
3.2594714E+00 9.7193056E+05 
3.2675676E+00 9.6353025E+05 
3.2756639E+00 9.6526119E+05 
3.2837601E+00 9.8387731E+05 
3.2918563E+00 1.0015058E+06 
3.2999527E+00 9.8465406E+05 
3.3080490E+00 9.6105875E+05 
3.3161452E+00 1.0211963E+06 
3.3242414E+00 9.9358325E+05 
3.3323376E+00 9.4478244E+05 
3.3404341E+00 9.8017662E+05 
3.3485303E+00 9.7927369E+05 
3.3566265E+00 1.0136112E+06 
3.3647227E+00 9.8811938E+05 
3.3728189E+00 1.0195888E+06 
3.3809154E+00 1.0187653E+06 
3.3890116E+00 9.4945700E+05 
3.3971078E+00 9.4904325E+05 
3.4052041E+00 9.6882538E+05 
3.4133003E+00 9.7633250E+05 
3.4213967E+00 1.0166234E+06 
3.4294930E+00 1.0111788E+06 
3.4375892E+00 9.8312506E+05 
3.4456854E+00 9.8360462E+05 
3.4537816E+00 9.8840000E+05 
3.4618781E+00 1.0243008E+06 
3.4699743E+00 1.0120781E+06 
3.4780705E+00 9.9092862E+05 
3.4861667E+00 9.4098994E+05 
3.4942629E+00 9.3958312E+05 
3.5023594E+00 9.8430694E+05 
3.5104556E+00 1.0074638E+06 
3.5185518E+00 9.8022812E+05 
3.5266480E+00 9.8521094E+05 
3.5347443E+00 9.8930519E+05 
3.5428407E+00 1.0090546E+06 
3.5509369E+00 1.0050533E+06 
3.5590332E+00 1.0017374E+06 
3.5671294E+00 9.8037388E+05 
3.5752256E+00 9.6110769E+05 
3.5833220E+00 1.0120514E+06 
3.5914183E+00 9.9191231E+05 
3.5995145E+00 9.8537569E+05 
3.6076107E+00 9.6759794E+05 
3.6157069E+00 9.3042456E+05 
3.6238034E+00 9.7441194E+05 
3.6318996E+00 9.6883512E+05 
3.6399958E+00 9.9951375E+05 
3.6480920E+00 9.5842281E+05 
3.6561882E+00 9.4992469E+05 
3.6642847E+00 9.5538781E+05 
3.6723809E+00 9.3825044E+05 
3.6804771E+00 9.6854144E+05 
3.6885734E+00 9.9867462E+05 
3.6966696E+00 1.0033295E+06 
3.7047660E+00 9.5899812E+05 
3.7128623E+00 9.4784362E+05 
3.7209585E+00 9.4587706E+05 
3.7290547E+00 9.4194731E+05 
3.7371509E+00 9.2955481E+05 
3.7452474E+00 9.0320788E+05 
3.7533436E+00 9.3106206E+05 
3.7614398E+00 9.7832238E+05 
3.7695360E+00 9.4758056E+05 
3.7776325E+00 9.2659275E+05 
3.7857287E+00 9.7151731E+05 
3.7938249E+00 9.8150500E+05 
3.8019211E+00 9.5607275E+05 
3.8100173E+00 9.8354994E+05 
3.8181138E+00 9.5422231E+05 
3.8262100E+00 9.4295525E+05 
3.8343062E+00 9.8238631E+05 
3.8424025E+00 9.7921731E+05 
3.8504987E+00 9.5433888E+05 
3.8585951E+00 9.1931219E+05 
3.8666914E+00 9.6263219E+05 
3.8747876E+00 9.2042388E+05 
3.8828838E+00 9.7369344E+05 
3.8909800E+00 9.5076956E+05 
3.8990765E+00 9.1764450E+05 
3.9071727E+00 9.2757500E+05 
3.9152689E+00 9.4372662E+05 
3.9233651E+00 9.4732694E+05 
3.9314613E+00 9.8161650E+05 
3.9395578E+00 9.8410981E+05 
3.9476540E+00 9.4002050E+05 
3.9557502E+00 9.3447662E+05 
3.9638464E+00 8.9375644E+05 
3.9719427E+00 9.4584131E+05 
3.9800391E+00 9.4128775E+05 
3.9881353E+00 9.3834856E+05 
3.9962316E+00 1.0032280E+06 
4.0043278E+00 9.6220162E+05 
4.0124240E+00 9.5140394E+05 
4.0205202E+00 9.3259125E+05 
4.0286169E+00 9.4080675E+05 
4.0367126E+00 9.3759862E+05 
4.0448093E+00 9.4057225E+05 
4.0529051E+00 9.3364006E+05 
4.0610018E+00 9.4443681E+05 
4.0690980E+00 9.6213419E+05 
4.0771942E+00 9.3817569E+05 
4.0852904E+00 9.4386019E+05 
4.0933867E+00 9.5788319E+05 
4.1014833E+00 9.5758594E+05 
4.1095791E+00 9.2866119E+05 
4.1176758E+00 8.8601588E+05 
4.1257715E+00 8.9295369E+05 
4.1338682E+00 9.1632144E+05 
4.1419644E+00 9.0184100E+05 
4.1500607E+00 9.2644294E+05 
4.1581569E+00 9.3588869E+05 
4.1662531E+00 9.4641150E+05 
4.1743493E+00 9.3850044E+05 
4.1824455E+00 9.9734762E+05 
4.1905417E+00 9.1623881E+05 
4.1986384E+00 9.3673712E+05 
4.2067347E+00 9.4356369E+05 
4.2148309E+00 9.0993394E+05 
4.2229271E+00 9.4514694E+05 
4.2310233E+00 9.4448519E+05 
4.2391195E+00 9.1612594E+05 
4.2472157E+00 9.2807762E+05 
4.2553120E+00 9.4051244E+05 
4.2634082E+00 9.5542575E+05 
4.2715044E+00 9.5674406E+05 
4.2796011E+00 9.6117912E+05 
4.2876973E+00 9.5028000E+05 
4.2957935E+00 9.7629369E+05 
4.3038898E+00 1.0201885E+06 
4.3119860E+00 9.8924262E+05 
4.3200822E+00 9.5215569E+05 
4.3281784E+00 9.3233262E+05 
4.3362746E+00 9.8464606E+05 
4.3443708E+00 1.0102316E+06 
4.3524671E+00 9.5895612E+05 
4.3605638E+00 9.3257225E+05 
4.3686600E+00 9.9178162E+05 
4.3767562E+00 9.4847762E+05 
4.3848524E+00 9.4700638E+05 
4.3929486E+00 9.5234131E+05 
4.4010448E+00 1.0376942E+06 
4.4091411E+00 9.7535569E+05 
4.4172373E+00 9.9667681E+05 
4.4253335E+00 1.0033702E+06 
4.4334297E+00 9.6797794E+05 
4.4415264E+00 9.7700950E+05 
4.4496226E+00 9.2718044E+05 
4.4577188E+00 9.5504438E+05 
4.4658151E+00 9.5683731E+05 
4.4739113E+00 9.6808688E+05 
4.4820075E+00 9.8377088E+05 
4.4901037E+00 9.4039238E+05 
4.4981999E+00 9.7190162E+05 
4.5062962E+00 9.6437256E+05 
4.5143924E+00 1.0096252E+06 
4.5224891E+00 9.6196981E+05 
4.5305853E+00 9.8715344E+05 
4.5386815E+00 9.6392512E+05 
4.5467777E+00 9.5608881E+05 
4.5548739E+00 9.4586338E+05 
4.5629702E+00 9.9042894E+05 
4.5710664E+00 1.0010402E+06 
4.5791626E+00 9.4858619E+05 
4.5872588E+00 9.6644100E+05 
4.5953555E+00 9.7846175E+05 
4.6034517E+00 9.7359050E+05 
4.6115479E+00 9.8211725E+05 
4.6196442E+00 9.7908012E+05 
4.6277404E+00 9.3782131E+05 
4.6358366E+00 9.3418488E+05 
4.6439328E+00 9.3426488E+05 
4.6520290E+00 9.9312475E+05 
4.6601253E+00 9.5546350E+05 
4.6682215E+00 9.6631256E+05 
4.6763182E+00 9.7627988E+05 
4.6844144E+00 9.9108112E+05 
4.6925106E+00 1.0175716E+06 
4.7006068E+00 1.0264643E+06 
4.7087030E+00 1.0357590E+06 
4.7167993E+00 9.9193731E+05 
4.7248955E+00 9.7066106E+05 
4.7329917E+00 9.6401919E+05 
4.7410879E+00 1.0063269E+06 
4.7491841E+00 9.7471019E+05 
4.7572808E+00 1.0176152E+06 
4.7653770E+00 1.0601640E+06 
4.7734733E+00 1.0139670E+06 
4.7815695E+00 9.9770662E+05 
4.7896657E+00 9.9923738E+05 
4.7977619E+00 1.0124894E+06 
4.8058581E+00 9.8315388E+05 
4.8139544E+00 9.5360662E+05 
4.8220506E+00 1.0229296E+06 
4.8301468E+00 1.0431022E+06 
4.8382435E+00 1.0494292E+06 
4.8463397E+00 9.9795788E+05 
4.8544359E+00 1.0331860E+06 
4.8625321E+00 9.6754462E+05 
4.8706284E+00 9.8222356E+05 
4.8787246E+00 9.8917125E+05 
4.8868208E+00 9.7454950E+05 
4.8949170E+00 9.9596731E+05 
4.9030132E+00 1.0179448E+06 
4.9111094E+00 1.0029086E+06 
4.9192061E+00 9.9038719E+05 
4.9273024E+00 1.0228048E+06 
4.9353986E+00 1.0198683E+06 
