Q(1/nm) TTAB30045P_50_norm_minus_branco1_norm.dat 
3.5428407E+00 -5.4751981E+05 
3.5509369E+00 -5.3988562E+05 
3.5590332E+00 -5.3973175E+05 
3.5671294E+00 -5.3758056E+05 
3.5752256E+00 -5.3262206E+05 
3.5833220E+00 -5.5933700E+05 
3.5914183E+00 -5.7044075E+05 
3.5995145E+00 -5.6165894E+05 
3.6076107E+00 -5.5971388E+05 
3.6157069E+00 -5.7441344E+05 
3.6238034E+00 -5.8789975E+05 
3.6318996E+00 -5.7686469E+05 
3.6399958E+00 -5.8165875E+05 
3.6480920E+00 -5.8361512E+05 
3.6561882E+00 -5.7442319E+05 
3.6642847E+00 -5.8499838E+05 
3.6723809E+00 -5.8785738E+05 
3.6804771E+00 -6.0780912E+05 
3.6885734E+00 -6.1140900E+05 
3.6966696E+00 -5.9641731E+05 
3.7047660E+00 -6.2479775E+05 
3.7128623E+00 -6.4150606E+05 
3.7209585E+00 -6.3495712E+05 
3.7290547E+00 -6.2642931E+05 
3.7371509E+00 -6.4926669E+05 
3.7452474E+00 -6.7224725E+05 
3.7533436E+00 -6.4740706E+05 
3.7614398E+00 -6.4273844E+05 
3.7695360E+00 -6.5599844E+05 
3.7776325E+00 -6.6667000E+05 
3.7857287E+00 -6.8289694E+05 
3.7938249E+00 -6.7730338E+05 
3.8019211E+00 -6.8679750E+05 
3.8100173E+00 -6.9066325E+05 
3.8181138E+00 -6.7900869E+05 
3.8262100E+00 -6.8866444E+05 
3.8343062E+00 -6.9058069E+05 
3.8424025E+00 -6.9453712E+05 
3.8504987E+00 -7.0164244E+05 
3.8585951E+00 -7.0650962E+05 
3.8666914E+00 -7.2081512E+05 
3.8747876E+00 -7.2009156E+05 
3.8828838E+00 -7.2669212E+05 
3.8909800E+00 -7.4214775E+05 
3.8990765E+00 -7.3383744E+05 
3.9071727E+00 -7.5913238E+05 
3.9152689E+00 -7.4807531E+05 
3.9233651E+00 -7.5342819E+05 
3.9314613E+00 -7.6384544E+05 
3.9395578E+00 -7.7050900E+05 
3.9476540E+00 -7.6724250E+05 
3.9557502E+00 -7.7736962E+05 
3.9638464E+00 -8.0450869E+05 
3.9719427E+00 -7.8766638E+05 
3.9800391E+00 -7.8496944E+05 
3.9881353E+00 -7.9944006E+05 
3.9962316E+00 -8.0182012E+05 
4.0043278E+00 -8.1860438E+05 
4.0124240E+00 -8.1140812E+05 
4.0205202E+00 -7.8851312E+05 
4.0286169E+00 -8.1663481E+05 
4.0367126E+00 -8.3304431E+05 
4.0448093E+00 -8.1986638E+05 
4.0529051E+00 -8.1937688E+05 
4.0610018E+00 -8.2189675E+05 
4.0690980E+00 -8.2013331E+05 
4.0771942E+00 -8.2634900E+05 
4.0852904E+00 -8.2425869E+05 
4.0933867E+00 -8.3084400E+05 
4.1014833E+00 -8.4223975E+05 
4.1095791E+00 -8.5304781E+05 
4.1176758E+00 -8.4256069E+05 
4.1257715E+00 -8.2533944E+05 
4.1338682E+00 -8.3377369E+05 
4.1419644E+00 -8.4142719E+05 
4.1500607E+00 -8.2555031E+05 
4.1581569E+00 -8.3112262E+05 
